"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"ADGRG1",24.0162,24.6121,25.6112,29.721,25.2018,25.2903,27.048,28.2656,31.0312,30.381,28.8541,31.1594,20.4968,26.1571,25.4216,22.6283,27.3057,31.5552,26.3003,25.3152,28.3147,24.637,13.9598,27.3097
"ADGRG2",55.0465,58.9696,60.3409,58.6462,58.0577,58.9141,50.0912,58.2439,41.3279,60.9773,59.3944,65.4521,51.0028,50.1037,61.9803,52.2785,52.9725,55.778,47.7075,51.3084,37.8366,31.6391,35.2679,4.61941
"ADGRG6",185.371,194.756,163.028,178.79,188.036,169.032,170.497,184.799,188.807,184.671,178.349,179.4,185.377,180.069,188.495,178.452,172.171,174.898,204.888,198.88,172.867,194.828,181.718,174.778
"ADH5",2089,2147.26,2112.38,2128.47,2198.19,2078.14,2074.63,2125.62,2086.04,2128.27,2195.88,2114.6,2105.13,2189.8,2064.13,2136.75,2354.71,2137.82,2088.98,2252.69,2209.87,1963.94,1964.36,2009.43
"ADI1",299.761,257.293,260.821,267.726,221.773,198.579,234.043,212.731,209.537,218.242,217.606,192.805,263.03,255.041,257.961,253.409,226.665,232.11,232.248,236.112,244.941,218.401,193.955,207.388
"ADK",2529.98,2529.39,2574.03,2596.04,2559.6,2535.88,2411.04,2398.28,2279.53,2540.3,2433.18,2476.07,2518.38,2472.59,2547.09,2586.1,2529.1,2529.49,2486.89,2512.68,2412.55,2303.82,2407.28,2344.32
"ADNP",1514.35,1464.94,1506.01,1362.82,1353.29,1426.87,1436.35,1362.8,1371.38,1490.01,1438.8,1480.76,1393.53,1372.02,1493.3,1439.85,1339.32,1430.87,1479.12,1433.96,1342.61,1539.65,1446.4,1477.12
"ADO",156.002,143.054,152.625,138.48,152.717,144.829,148.671,162.256,168.822,148.496,142.01,158.874,162.305,143.111,164.971,157.862,152.517,155.829,157.966,149.252,167.726,150.661,145.756,169.347
"ADPGK",416.741,393.972,380.154,392.475,394.975,347.936,377.784,378.804,360.79,380.341,385.089,349.288,419.817,394.828,380.055,380.104,392.245,359.32,364.56,403.19,366.037,415.572,432.799,344.934
"ADPRHL2",272.556,296.434,303.838,257.766,284.436,293.87,293.473,290.168,334.471,283.799,284.699,309.809,287.68,273.789,271.514,288.207,289.07,282.738,271.055,281.68,326.802,281.565,304.978,294.98
"ADRM1",977.775,1009.41,961.279,947.97,893.384,1007.36,950.753,951.766,968.521,919.962,931.177,955.048,862.158,837.067,891.493,910.832,881.042,958.922,968.884,940.671,983.523,1104.58,1050.15,1001.48
"ADSL",5040.37,4865.76,5051.47,5039.54,4980.95,4890.77,5028.6,4860.81,4797.67,5162.27,5011.23,4907.73,4878.95,4881.97,4958.05,5080.89,4853.97,4976.55,5160.67,5143.11,4983.15,5109.44,5096.48,5184.91
"ADSS2",1727.6,1604.44,1637.06,1635.8,1508.72,1595.33,1722.59,1631.49,1677.23,1715.53,1674.49,1678.21,1657.45,1561.94,1561.07,1683.46,1599.97,1564.82,1673.58,1611.32,1748.15,1733.79,1592.36,1570.96
"AFAP1",46.9443,42.1503,47.8569,42.418,44.7276,52.5325,43.4189,45.6323,45.1253,41.5306,49.86,50.9181,39.907,50.5282,48.7524,46.1581,47.766,45.1037,43.6598,49.4066,54.0046,39.3525,56.2525,48.0658
"AFDN",2252.7,2242.61,2270.79,2311.12,2347.86,2311.47,2272.4,2204.46,2262.76,2226.52,2263.36,2177.9,2279.21,2230.79,2284.26,2277.51,2286.39,2259.56,2366.72,2326.86,2321.68,2382.37,2324.47,2283.92
"AFG3L2",4288.07,4097.5,4245.37,4213.31,4089.2,4063.95,4109.03,4059.15,3934.17,4338.59,4083.43,3930.32,4200.17,4190.03,4161.13,4155.47,4086.49,4011.78,4301.67,4180.07,4082.01,4764.85,4299.89,4339.46
"AFP",3596.93,3914.85,4310.07,4031.01,4414.37,4282.94,3680.6,3454.4,2987.876,2988.369,2965.307,3202.599,2915.759,3543.02,4208.53,3954.42,3414.36,4027.85,3751.39,3857.82,2709.081,1478.484,1438.854,1432.188
"AFTPH",189.879,212.032,199.192,190.526,221.679,209.095,192.035,227.822,215.368,209.092,222.578,205.439,201.485,207.538,197.423,198.682,211.073,208.146,240.322,237.227,212.203,195.654,211.114,204.15
"AGA",9.8384,8.89783,10.8027,8.12637,9.08795,5.15454,8.46275,10.4849,9.24376,7.39581,7.19059,7.37034,11.4029,8.06581,8.77257,9.22188,9.70525,7.97695,7.93447,9.6193,6.87211,12.2936,10.2343,12.1745
"AGAP1",21.2214,21.7531,22.9834,17.9083,21.8815,20.4472,22.6712,21.4654,20.0163,20.0424,22.7581,24.6881,25.23,19.5905,23.0422,21.557,21.3554,24.4869,21.7497,23.0308,24.6222,18.9147,20.9022,19.4178
"AGFG1",303.845,295.997,312.113,338.81,305.406,311.312,308.694,287.647,298.551,320.172,289.56,290.586,319.629,298.918,316.561,336.283,305.336,309.472,310.222,302.63,301.14,319.476,320.374,322.514
"AGFG2",75.1279,79.0508,79.4449,88.8061,95.2889,84.1646,73.4901,76.35,70.4701,94.6292,73.7049,84.6713,80.0187,67.7427,91.7153,75.2948,71.9901,79.2388,87.8485,72.4794,74.8698,74.2013,73.4171,69.6633
"AGK",593.456,601.629,585.419,573.549,595.494,587.669,554.392,563.448,575.303,554.551,596.215,579.272,584.009,616.489,574.956,579.37,580.777,582.923,558.844,598.396,575.842,597.699,649.847,597.887
"AGL",2495.65,2434.34,2373.07,2396.5,2446.28,2401.92,2407.24,2365.77,2358.98,2443.46,2406.36,2400.28,2417.92,2432.14,2410.96,2438.87,2462.12,2448.91,2432.32,2475.94,2411.49,2424.35,2438.43,2431.71
"AGMAT",1328.83,1311.39,1243.8,1422.49,1370.47,1257.2,1263.99,1267.23,1185.41,1310.07,1281.48,1198.62,1356.67,1348.92,1275.06,1359.81,1299.9,1202.58,1274.2,1276.6,1218.46,1357.59,1407.55,1285.06
"AGO2",56.4924,60.7832,47.726,55.4902,55.2549,56.2141,55.2983,59.3239,56.5935,55.8762,63.557,57.9256,63.1882,62.0699,62.4323,61.2817,61.1768,51.346,58.8962,65.5921,63.688,66.568,72.2778,60.7321
"AGPAT1",49.8318,42.0659,41.4515,48.235,41.6691,43.7725,43.5899,42.6892,46.0093,47.9349,52.4553,44.1823,50.9999,46.4267,44.6263,44.4321,51.1771,42.8962,50.2265,44.404,46.0272,49.3873,71.9414,44.6175
"AGPAT2",116.785,95.5081,97.5169,110.875,95.1427,114.41,111.621,102.094,120.464,98.3259,93.2128,95.1576,107.646,94.7846,95.6361,100.329,89.8355,85.7304,94.7714,93.5696,126.153,96.8112,108.304,110.569
"AGPAT3",653.98,637.628,613.701,601.239,660.884,652.024,667.379,634.005,692.069,695.816,704.509,657.338,711.557,667.177,662.888,650.184,674.257,648.222,685.035,681.221,734.145,705.246,736.232,726.642
"AGPAT5",65.5955,67.5166,70.3954,56.4372,70.2098,65.8619,65.1786,71.0232,63.6238,73.177,70.8006,73.9942,64.0846,71.9518,67.363,64.1252,67.3106,62.1895,78.6598,69.3835,65.8375,61.8484,61.4244,56.1919
"AGPS",2709.64,2579.84,2626.41,2657.92,2496.73,2548.78,2644.24,2507.09,2471.79,2608.64,2476.51,2584.3,2619.29,2533.2,2661.81,2676.98,2527.6,2531.86,2622.3,2556.34,2400.29,2765.05,2588.66,2652.95
"AGR2",4506.22,4248.69,4339.27,4583.55,4452.85,4351.57,4184.31,4258.98,3730.18,3918.76,3847.42,4161.54,4157.13,4375.93,4238.61,4238.93,4664.93,4325.62,4340.64,4254.01,3949.01,4619.09,4600.32,4186.34
"AGR3",72.7528,75.6012,79.6737,68.7618,77.2491,71.9214,74.2939,65.4292,61.5748,58.8065,60.1258,63.947,67.4994,71.1597,79.3293,67.5628,63.5282,67.6553,68.4908,67.6253,74.2434,66.2743,65.2051,70.1515
"AGRN",353.187,336.316,390.394,329.922,342.553,326.519,327.611,324.628,348.67,319.495,315.625,337.966,350.602,349.664,301.729,333.093,337.314,316.867,349.455,331.497,328.07,309.771,273.927,285.193
"AGT",228.333,210.597,165.957,149.932,183.265,168.716,185.739,219.336,200.385,193.636,209.882,171.259,227.665,225.591,158.701,185.45,218.719,166.524,174.072,169.123,180.08,109.172,122.061,116.399
"AGTRAP",17.8355,12.9244,17.3989,16.3426,14.7713,21.1508,19.9705,16.9018,19.3185,16.841,12.1787,20.2239,14.8501,14.7645,12.4864,16.246,14.6246,14.0599,14.6921,14.6672,18.4845,10.5874,15.5739,15.8146
"AHCTF1",400.824,361.097,371.933,360.765,324.841,304.127,395.543,376.699,352.808,376.105,359.817,342.484,349.369,349.648,355.168,372.202,328.453,346.748,359.974,349.555,324.278,412.784,380.255,317.95
"AHCY",6622.28,6754.72,6661.87,6749.53,6788.42,6625.1,6232.42,6464.56,6172.22,6347.38,6413.72,6478.86,6457.35,6567.95,6576.14,6506.47,6673.21,6483.78,6574.68,6840.4,6264.57,6535.44,6319.24,6161.29
"AHCYL1",1086.7,1048.273,1095.041,1020.064,974.218,1007.02,1013.052,992.063,1040.149,997.342,977.727,1005.966,1083.098,990.62,1054.057,1068.995,1007.021,1056.674,1065.448,1036.091,1017.485,1034.986,920.929,941.872
"AHNAK",42526.112,43207.5777,39743.6767,40729.7639,43148.819,43081.8194,43555.208,43381.4921,48112.281,41911.488,42707.9263,40786.366,44559.614,43153.5558,41172.804,43634.714,45497.8311,43550.639,43860.126,43727.7848,48339.118,44247.6975,44071.1988,42749.4835
"AHNAK2",889.15,877.869,887.918,688.904,704.008,720.482,868.795,843.126,888.984,817.712,824.471,833.504,897.078,887.761,833.238,908.148,839.274,866.995,843.183,798.561,842.189,824.311,875.154,915.022
"AHR",67.8074,53.3604,58.5448,86.269,69.0358,58.776,87.0945,73.871,65.4123,61.0316,50.2543,45.8192,57.3203,54.3489,50.5085,77.9408,64.7371,55.5867,91.5773,73.5969,64.7315,71.4057,70.2691,58.8306
"AHSA1",3263.53,3152.27,3268.32,3119.56,3042.91,3133.44,3142.8,3130.71,3054.7,3242.46,3114.54,3166.23,3079.48,3099.32,3165.69,3148.97,3042.85,3094.65,3192.66,3170.9,3150.44,3386.4,3147.24,3117.7
"AHSG",89.6488,68.014,61.2965,43.2676,33.1301,26.8541,69.0706,51.4599,50.5765,80.8495,47.4972,54.3683,80.2664,55.1556,57.8109,82.788,53.8146,52.5018,64.5889,52.2549,49.2309,157.093,96.0624,92.6799
"AIF1L",73.797,72.7952,71.3614,58.8043,52.7394,61.7877,77.7639,68.9709,75.9849,76.2024,70.3725,68.3401,69.2388,70.1032,60.9835,68.7092,70.1353,71.3713,76.0516,70.3443,70.2892,80.4026,72.3137,51.3975
"AIFM1",2846.01,2885.56,2940.7,2928.35,2840.43,2798.32,2805.6,2794.17,2604.99,2846.83,2821,2853.07,2792.9,2832.69,2881.48,2896.53,2800.42,2815.25,2839.62,2802.91,2602.72,2892.78,2947.35,2785
"AIFM2",48.3722,46.8064,45.6277,52.5826,42.7652,52.6509,50.5083,41.1555,47.5095,48.5754,48.0192,53.5396,56.4155,53.4416,44.1364,56.2384,43.3945,43.7481,54.2213,38.8349,53.1365,45.237,42.4337,52.5971
"AIG1",54.11,54.7422,57.3273,53.0332,54.3044,58.9791,56.9931,56.68,55.877,57.6809,58.2268,55.821,67.7885,50.2654,60.4241,62.9426,57.2374,69.4044,67.432,53.3652,67.2979,70.6885,62.5556,63.0617
"AIMP1",1735.32,1690.34,1775.77,1672.23,1647.86,1617.12,1656.52,1636.56,1552.17,1753.86,1665.86,1634.3,1640.08,1617.39,1721.89,1616.43,1708.56,1653.88,1699.96,1694.58,1608.2,1967.93,1880.97,1774.44
"AIMP2",937.799,930.192,992.312,957.147,939.846,895.525,921.568,892.679,887.125,965.683,955.727,906.442,928.547,946.55,987.222,911.588,920.057,911.284,901.144,945.935,887.998,1047.29,969.04,893.809
"AIP",540.411,491.753,511.541,555.94,487.7,514.038,547.44,518.297,526.261,549.972,492.823,501.068,560.045,527.319,526.383,521.31,507.048,504.592,530.123,502.581,529.002,518.884,462.817,486.667
"AJUBA",10.8909,15.8608,12.2122,13.6308,15.9031,11.7959,11.1433,17.9216,15.8421,13.6372,14.5785,11.7997,12.8996,18.3961,15.019,12.3921,14.8726,16.1554,12.5154,16.7184,15.5175,10.3381,15.2567,10.2057
"AK1",691.268,718.625,749.476,645.744,628.509,767.312,671.766,706.57,758.155,712.542,756.324,812.976,722.854,732.173,731.095,702.795,716.908,771.641,742.471,715.417,811.392,713.024,705.33,870.079
"AK2",2045.48,2033.47,2075.53,1918.71,1975.8,1939.9,2037.65,1971.21,1996.92,2117.43,2041.78,2010.37,2043.92,2050.24,2011.33,2028.49,2009.49,1993.72,2041.75,2030,2076,2184.78,2222.41,2174.28
"AK4",3515.74,3211.15,3161.83,3353.464,3189.5,3360.45,3293.7,3235.37,3350.39,3323.04,3175.33,3142.92,3577.72,3386.07,3219.69,3380.47,3452.6,3385.11,3452.88,3318.26,3587.13,3452.3,3418.76,3508.63
"AK5",242.352,225.297,243.938,210.026,212.777,231.259,215.262,223.393,227.599,230.217,216.137,243.082,217.664,207.721,218.742,222.243,212.44,209.843,220.499,226.953,224.561,267.422,260.771,228.354
"AKAP1",663.424,628.134,641.144,614.486,607.454,610.71,682.709,645.82,636.213,661.581,622.763,640.042,629.43,610.763,612.91,643.094,621.074,618.335,632.479,632.332,617.273,686.811,609.422,620.096
"AKAP10",229.599,197.907,209.724,216.324,204.134,207.898,215.587,200.243,209.201,222.787,194.021,195.261,220.104,206.075,202.646,226.692,206.047,191.354,209.716,211.38,207.716,212.678,218.534,202.886
"AKAP12",253.015,247.754,253.217,227.535,229.706,227.74,270.868,266.347,262.804,245.224,240.564,230.787,270.422,247.504,250.733,262.93,279.182,249.512,255.729,240.311,258.173,277.863,273.668,280.545
"AKAP13",427.903,457.968,444.363,432.529,438.414,444.954,420.325,450.83,448.831,408.262,428.32,439.15,440.26,436.41,467.975,447.249,444.107,459.688,432.736,446.317,453.414,389.668,344.914,366.028
"AKAP7",690.702,640.958,571.107,587.974,593.38,630.601,645.544,644.287,767.174,620.653,642.459,574.555,798.679,713.678,628.526,676.485,728.558,658.7,685.765,598.329,802.087,622.873,623.591,717.554
"AKAP8",280.528,295.824,276.778,266.262,272.19,262.563,294.996,291.958,286.303,277.566,285.444,288.85,269.947,277.575,262.924,277.333,287.771,284.107,279.986,279.078,280.683,297.011,275.057,280.044
"AKAP8L",869.41,856.802,924.9,881.113,838.235,900.769,857.141,847.818,829.989,850.958,801.83,892.379,850.168,872.216,944.846,904.876,809.885,900.895,871.244,816.063,795.505,849.704,847.788,835.837
"AKAP9",700.0248,698.967,727.9436,670.204,655.0024,632.2213,645.4822,609.8662,618.3365,663.6725,627.4655,655.0869,679.6684,693.5639,676.0774,703.2121,626.665,663.293,659.6203,625.4283,571.801,574.4019,536.6267,521.9827
"AKR1A1",2668.87,2640.62,2684.8,2704.52,2823.23,2777.94,2801.5,2656.3,2714.54,2855.32,2767.58,2629.13,2669.93,2608.91,2633.45,2738.75,2754.02,2829.82,2756.1,2704.45,2838.46,2538.11,2483.64,2538.41
"AKR1B1",964.7081,942.634,945.8015,681.5909,661.2242,746.2402,900.0384,878.2847,851.935,907.5276,899.4008,933.3802,914.7467,923.7795,905.5192,903.7951,878.1585,879.1848,918.6874,903.8013,883.6235,884.4181,848.7833,811.618
"AKR1B15",81.252,80.9243,107.338,104.983,88.1297,88.3179,90.8123,78.5713,93.5609,82.1774,76.4306,90.4162,80.9894,80.9581,105.029,85.2148,73.7566,98.9045,95.545,92.6665,70.9818,74.4017,97.6739,76.4052
"AKR1C1",3649.8268,3636.5677,4015.837,4173.6321,3875.0938,3901.373,4164.0264,3641.6638,3579.7971,3902.2217,3534.205,3598.3684,3686.8484,3700.0849,3882.437,3821.347,4001.3932,3979.409,3903.7335,4028.9746,3526.0157,3669.4701,3454.9923,3415.243
"AKR1C2",279.195,264.287,300.985,202.561,265.603,263.815,269.895,290.803,264.762,275.298,289.978,301.755,275.649,295.105,296.494,275.328,293.674,277.773,295.678,297.446,283.811,235.791,278.174,267.18
"AKR1C3",1180.71,1198.07,1296.46,1263.53,1223.15,1252.66,1198.84,1116.35,1139.44,1171.01,1108,1209.17,1104.67,1158.63,1276.33,1181.79,1151.6,1196.01,1157.66,1160.03,1123.92,1094.74,1136.23,1124.18
"AKR7A2",828.0994,792.9423,804.1593,858.1173,849.355,842.5148,852.5533,820.2161,837.9184,887.7749,852.7134,834.8387,876.3838,826.5651,854.8616,850.136,793.9613,808.4389,879.0178,830.9008,863.3348,807.3684,773.3291,821.1422
"AKT1",183.9196,162.704,167.6536,176.402,151.9768,160.9099,187.7218,164.7365,160.7272,183.9225,155.2444,166.5317,181.4985,155.9745,162.9316,182.9879,161.8444,170.5285,185.7917,162.326,156.0201,198.5597,165.8214,158.9935
"AKT1S1",32.5688,20.7365,30.9232,26.76,16.003,29.2082,30.4921,24.9521,26.0241,27.5941,16.8126,28.9924,28.3246,18.2362,31.1789,29.8149,18.2371,21.4508,27.7963,19.0611,21.4024,28.1953,22.4207,28.9192
"AKT2",74.226,76.9528,91.3188,61.2687,70.7756,74.9554,73.2052,73.5859,78.2055,82.493,77.1959,88.501,71.8917,76.6218,86.5734,69.9363,74.7403,82.0047,79.8195,86.9688,67.1439,74.6246,65.6865,73.9822
"ALAD",166.668,170.796,154.953,155.036,177.898,162.602,153.076,156.403,167.934,176.934,172.655,177.601,171.826,162.971,164.387,163.441,166.867,166.635,160.594,172.439,189.29,159.043,179.143,176.332
"ALB",671.292,677.335,774.744,328.423,583.018,440.053,539.451,754.541,622.037,586.547,708.205,636.403,757.675,796.198,731.85,655.666,755.239,735.559,714.816,912.91,922.612,882.737,973.224,1286.26
"ALCAM",50.9662,68.216,48.4367,36.1952,45.4506,39.0515,52.1973,53.7779,53.2988,59.7968,59.4977,52.9492,49.9699,58.4351,56.7379,52.7283,45.1136,53.5815,52.8712,48.383,54.0478,59.569,59.9571,48.2237
"ALDH16A1",351.799,316.027,341.263,344.151,306.281,329.581,351.244,298.319,310.863,344.277,307.863,342.364,358.999,323.657,354.753,365.45,327.034,328.262,347.49,311.143,295.471,344.147,335.928,321.827
"ALDH18A1",4233.62,4149.85,4239.74,4302.18,4077.02,4044.12,4075.41,3972.31,3912.68,4374.83,4282.83,4008.65,4234.59,4075.36,4222.5,4284.72,4248.11,4162.23,4135.29,4052.81,4004.02,3961.5,3819.36,3834.97
"ALDH1A1",11720.799,11865.014,12391.164,13208.581,13424.545,12819.977,11795.407,11118.013,10398.528,11070.087,10812.703,11420.71,11180.603,11789.237,12281.666,12474.038,11636.37,12033.183,11795.482,12241.36,10029.181,9416.856,9247.355,9600.356
"ALDH1A2",51.0376,49.275,57.5479,48.0332,49.8133,45.0633,45.0184,50.0273,43.7529,41.8302,48.8298,42.6317,43.4283,41.4418,45.6392,39.7896,44.5251,48.7812,45.0289,43.2264,42.1954,76.6314,77.834,80.1257
"ALDH1B1",1424.67,1321.66,1418.08,1318.42,1234.18,1345.48,1399.04,1359.02,1329.02,1472.61,1413.95,1442.46,1352.11,1327.61,1318.3,1361.75,1317.1,1370.04,1401.73,1377.67,1369.12,1417.11,1472.37,1640.45
"ALDH2",3923.09,4020.18,3940.26,4097,4027.67,4069.23,3802.74,3701.22,3660.94,3725.85,3666.55,3762.66,3907.19,3949.73,4018.14,4007.53,3892.47,3952.04,3869.49,3842.99,3829.18,3935.27,4003.57,4096.49
"ALDH3A1",241.0249,256.8156,228.0712,193.5019,197.3603,194.6762,242.3363,243.4999,240.0058,250.5828,260.7091,224.4504,247.3884,261.8215,213.4648,247.0881,252.5668,221.4407,229.1367,259.8177,217.241,265.1299,279.6513,239.0554
"ALDH3A2",1051.94,1012.45,1133.18,895.703,816.535,943.943,980.067,957.948,975.121,1032.76,972.013,1078.98,996.205,970.974,1119.94,1013.91,940.039,1055.96,1019.87,954.379,941.429,1055.18,992.969,1093.47
"ALDH3B1",249.919,236.97,261.374,238.572,234.033,229.687,245.074,228.423,238.204,277.067,269.227,277.513,244.255,224.525,261.685,250.899,232.707,243.325,246.207,223.901,237.442,304.426,229.993,224.146
"ALDH4A1",195.874,212.572,218.462,206.569,217.124,215.452,201.22,209.48,222.741,232.135,230.984,234.97,221.881,226.153,230.865,217.671,220.85,222.621,202.351,223.402,218.646,215.548,212.271,210.073
"ALDH5A1",2246.81,2239.6,2239.88,2384.69,2379.07,2167.23,2375.37,2251.33,2209.48,2379.76,2326.84,2102.26,2255.49,2187.77,2114.36,2258.6,2370.9,2225.39,2272.89,2247.09,2322.92,2655.59,2655.43,2552.23
"ALDH6A1",2776.74,2697.54,2639.07,2879.9,2944.13,2731.22,2830.02,2696.47,2714.65,2758.91,2813.63,2472.87,2904.96,2803.33,2812.15,3087.1,2815.38,2758.9,2875.54,2716.06,2784.04,2674.95,2718.45,2811.15
"ALDH7A1",4527.62,4565.52,4793.36,4649.43,4570.27,4460,4423.04,4308.76,4156.4,4490.71,4358.5,4356.84,4457.35,4572.17,4787.95,4616.31,4572.81,4504.09,4493.38,4496.5,4376.67,4696.76,4513.89,4429.5
"ALDH9A1",1771.3,1820.64,1817.04,1747.93,1734.49,1639.14,1780.43,1713.11,1697.65,1749.16,1715.28,1692.38,1728.31,1737.23,1726.21,1825.65,1730.84,1745.42,1787.46,1739.94,1697.94,1680.39,1717.93,1751.63
"ALDOA",11448.177,10893.91,9960.46,10607.153,10504.494,10408.292,10418.459,10681.014,11520.364,10727.216,10559.804,9658.881,12535.421,11608.829,10824.27,11069.74,11882.881,10575.002,11065.258,10928.863,12854.804,11623.18,11766.332,11622.93
"ALDOB",2305.81,2094.514,2222.761,2493.247,2225.902,2266.019,2460.625,2247.465,2375.018,2582.855,2370.304,2408.107,2248.653,2121.666,2169.149,2472.926,2275.649,2350.034,2662.92,2289.126,2350.821,2817.685,2733.646,2532.344
"ALDOC",1484.01,1337.38,1080.08,1318.47,1304.41,1362.6,1368.95,1500.65,1831.44,1470.02,1510.13,1284.54,1846.37,1582.04,1325.55,1450.18,1632.88,1358.73,1404.02,1426.61,2018.26,1499.96,1548.87,1574.24
"ALG1",260.125,262.015,267.943,276.74,261.752,275.181,256.517,249.302,256.062,242.236,266.062,251.662,224.436,235.54,250.05,247.843,255.561,244.274,248.374,245.187,241.059,255.065,273.394,251.103
"ALG10",34.257,32.661,24.2371,35.7394,28.4965,25.0731,27.8238,34.6917,21.36,30.1728,30.6961,21.0088,29.2465,31.011,21.6505,31.4466,29.6724,22.8483,28.7664,29.2034,22.9656,32.4547,26.6532,21.4578
"ALG11",152.117,150.283,152.242,161.776,145.687,145.586,151.082,144.831,160.31,157.461,142.066,149.855,157.534,155.765,159.855,154.132,144.738,152.352,158.142,152.892,158.494,205.323,185.695,193.254
"ALG12",247.87,238.051,276.854,248.385,241.985,267.795,253.609,225.753,270.315,269.019,245.81,257.083,231.573,241.453,272.124,226.242,232.599,248.969,246.187,244.324,252.825,255.2,235.828,256.365
"ALG13",165.727,143.669,147.167,144.408,136.555,145.679,152.346,149.122,144.175,166.576,151.797,153.279,152.898,155.608,148.662,137.064,171.284,141.148,157.469,154.429,155.179,155.449,148.222,134.506
"ALG3",143.952,161.301,172.314,135.003,145.123,163.131,144.764,152.59,173.696,154.826,165.258,160.188,156.949,167.703,180.458,150.677,159.939,166.67,132.809,146.622,155.649,144.959,153.481,163.098
"ALG5",494.031,508.803,532.575,518.789,492.67,491.308,467.253,486.642,462.075,533.291,525.87,490.396,459.56,494.831,518.106,482.192,481.758,472.635,489.261,493.52,475.957,571.965,528.69,518.338
"ALG8",299.698,277.531,309.096,272.582,261.012,268.421,235.435,232.906,224.706,239.891,238.555,264.425,276.404,285.97,304.648,265.34,262.944,254.848,244.199,271.44,259.651,268.53,239.469,269.964
"ALG9",235.744,217.351,241.681,231.488,217.881,235.863,237.658,224.025,231.592,240.984,227.335,233.196,237.804,218.472,253.28,231.463,213.807,231.333,232.986,229.819,227.783,239.08,206.975,207.775
"ALKBH2",10.8759,10.1774,29.6856,9.00726,10.1139,13.9958,13.3435,13.429,16.4825,12.2187,15.6889,25.6846,10.7083,8.22348,25.2692,11.7364,8.81136,8.80881,10.6167,15.651,18.0949,11.2182,10.8814,0
"ALKBH5",72.6727,71.1003,64.7369,63.8366,63.0052,57.1052,69.3671,67.1315,65.5431,72.9475,63.7262,59.3306,75.0208,68.5886,59.577,69.8435,69.7839,59.5317,69.497,65.6475,62.6723,63.2428,49.5906,63.1876
